metric_id,source_order,source_id,variable_code,variable_name,driver_code,driver_name,barrier_grouping,variable_weight,assessment_item,report_metric_label,what_this_checks,option_1,option_2,option_3,option_4,option_5,na_option,question_type,report_feed,source
R04.01,1,G1,R04,Funder fit & work design,D07,Mandate and eligibility fit,"B3 - Fit, Competitiveness & Access",,We target funders that currently fund our issue or field,Thematic mandate alignment,"Answer from your actual target funder list. Check whether recent calls, strategies, or past grants show real issue/field fit.",1 — No evidence that target funders fund our issue or field,2 — Issue fit is mostly assumed or based on old information,"3 — Some target funders fit our issue, but the map is incomplete","4 — Most target funders currently fund our issue, with minor gaps",5 — Target list is verified against current issue/field funding priorities,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Funder fit & work design; B3 Fit, Competitiveness & Access; Eligibility; Proposal Review",Original tested item G1.1 — statement and choices preserved
R04.02,2,G2,R04,Funder fit & work design,D07,Mandate and eligibility fit,"B3 - Fit, Competitiveness & Access",,"We target funders that currently fund our geography (country, region, area)",Geographic fit,"Answer based on whether your target funders currently fund your country, region, city, rural area, or cross-border context.",1 — No target funders are confirmed for our geography,2 — Geographic fit is guessed or based on outdated eligibility,"3 — Some funders fit our geography, but coverage is uneven","4 — Most targets currently fund our geography, with minor exceptions",5 — Geographic eligibility is verified for all priority funders,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Funder fit & work design; B3 Fit, Competitiveness & Access; Eligibility; Proposal Review",Original tested item G1.2 — statement and choices preserved
R04.03,3,G3,R04,Funder fit & work design,D07,Mandate and eligibility fit,"B3 - Fit, Competitiveness & Access",,"We target funders that currently support our stage of development (e.g., startup under 2 years, mature 5+ years)",Population and constituency fit,"Check whether funders support organisations at your current stage: informal, newly registered, growing, mature, fiscally hosted, or established.",1 — Target funders do not appear to support our current stage,2 — Stage fit is unclear or based on hope rather than criteria,"3 — Some targets fit our stage, but others may be too early/too mature",4 — Most targets fit our current stage with small uncertainties,5 — Stage fit is verified and matched to appropriate funder types,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Funder fit & work design; B3 Fit, Competitiveness & Access; Eligibility; Proposal Review",Original tested item G1.3 — statement and choices preserved
R01.01,4,G4,R01,"Context, legal route & compliance",D02,Legal and receiving route,"B1 - Context, Eligibility & Compliance",,We target funders that accept our registration or legal status,Operating context clarity,"Answer from your current status: unregistered, collective, fiscally hosted, NPO/NPC, trust, network, or other legal form.",1 — Our target funders require a status we do not have,2 — Legal/status fit is uncertain or relies on informal workarounds,"3 — Some targets accept our status, but options are limited",4 — Most targets accept our status or host route,5 — All priority funders accept our status or verified receiving route,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Context, legal route & compliance; B1 Context, Eligibility & Compliance; Opportunity; Eligibility; Due Diligence",Original tested item G1.4 — statement and choices preserved
R04.04,5,G5,R04,Funder fit & work design,D07,Mandate and eligibility fit,"B3 - Fit, Competitiveness & Access",,The type of work we do fits what our target funders actually and currently fund,Grant size versus delivery model,"Check whether your activities and methods match what funders fund now, not only their broad values or mission statements.",1 — Our activities do not clearly match current funder priorities,"2 — Activity fit is broad, vague, or untested","3 — Some activities fit, but parts of the work may be hard to fund",4 — Most activities match current funder priorities,5 — Our work type is clearly aligned with current funded activities,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Funder fit & work design; B3 Fit, Competitiveness & Access; Eligibility; Proposal Review",Original tested item G1.5 — statement and choices preserved
R04.05,6,G6,R04,Funder fit & work design,D07,Mandate and eligibility fit,"B3 - Fit, Competitiveness & Access",,"The grant type we need (core, project, emergency, flexible, research, advocacy, or movement support) is currently offered by target funders",Route and modality match,"Check whether the funders offer the kind of money you need, not just whether they like the issue.",1 — Target funders do not offer the grant type we need,2 — Grant-type fit is unclear or depends on exceptions,3 — Some target funders offer the needed grant type,4 — Most targets offer suitable grant types with minor limits,5 — Grant type is verified for all priority targets and matched to need,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Funder fit & work design; B3 Fit, Competitiveness & Access; Eligibility; Proposal Review",Original tested item G1.6 — statement and choices preserved
R04.06,7,G7,R04,Funder fit & work design,D07,Mandate and eligibility fit,"B3 - Fit, Competitiveness & Access",,Our typical requested amount fits the funder's usual grant size,Workplan realism before drafting,"Compare your usual ask with each funder's normal minimum, maximum, and average grant size.",1 — Our ask is far outside usual grant sizes for target funders,2 — Our ask may be too high/low for several targets,"3 — Some asks fit, but sizing needs adjustment by funder",4 — Most asks fit target funder grant-size patterns,5 — Ask amounts are calibrated to each funder's grant-size range,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Funder fit & work design; B3 Fit, Competitiveness & Access; Eligibility; Proposal Review",Original tested item G1.7 — statement and choices preserved
R04.07,8,G8,R04,Funder fit & work design,D07,Mandate and eligibility fit,"B3 - Fit, Competitiveness & Access",,"Our requested amount fits our own budget, track record, and systems",True cost fit,"Check whether your ask is credible for your organisation's financial history, delivery capacity, controls, and evidence base.",1 — The ask would look too large or risky for our current systems,2 — The ask stretches our track record or controls significantly,3 — The ask is possible but needs stronger justification or controls,"4 — The ask mostly fits our budget, record, and systems","5 — The ask is clearly proportional, credible, and well supported",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Funder fit & work design; B3 Fit, Competitiveness & Access; Eligibility; Proposal Review",Original tested item G1.8 — statement and choices preserved
R04.08,9,G9,R04,Funder fit & work design,D07,Mandate and eligibility fit,"B3 - Fit, Competitiveness & Access",,"We apply to funders and grants that would not distort our mission, politics, community accountability, or safety",Risk profile fit,"Assess whether funding targets protect the integrity, politics, safety, and accountability of the work.",1 — Likely funding would pull us away from mission or create safety risk,2 — Some targets may distort priorities or accountability,3 — We notice mission risks but do not yet screen them consistently,"4 — We mostly screen funders for mission, politics, and safety fit",5 — We actively avoid misfit money and protect community accountability,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Funder fit & work design; B3 Fit, Competitiveness & Access; Eligibility; Proposal Review",Original tested item G1.9 — statement and choices preserved
R05.01,10,G10,R05,"Competitive positioning, appeal & ROI",D09,Competitive positioning,"B3 - Fit, Competitiveness & Access",,"We can clearly articulate what makes our approach, team, community relationship, or model different from others doing similar work",Strategic distinctiveness,Answer whether a funder can quickly understand your distinct value without needing a long explanation.,1 — We cannot yet explain what makes us meaningfully different,"2 — Our difference is vague, generic, or identity-only",3 — We can explain some differences but need sharper proof,4 — Our distinct value is clear with minor refinement needed,"5 — Our distinct value is compelling, evidenced, and easy to repeat",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Competitive positioning, appeal & ROI; B3 Fit, Competitiveness & Access; Proposal Review",Original tested item G1.10 — statement and choices preserved
R11.01,11,G11,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,Our governance or oversight body is active and documented,Governance accountability pack,"Check whether oversight is real, current, and traceable through meetings, decisions, minutes, or equivalent community/accountability records.",1 — No active oversight body or current oversight record exists,"2 — Oversight exists but is informal, inactive, or poorly recorded",3 — Oversight is present but documentation has gaps,4 — Oversight is active and mostly documented,"5 — Oversight is active, current, documented, and easy to verify",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G2.1 — statement and choices preserved
