qid,old_original_code,previous_lss_code,locked_lss_code,previous_driver_code,locked_driver_code,locked_driver_name,previous_variable,locked_variable,previous_result_area,locked_result_area,locked_stage_relevance,locked_group_id,handling_rule
225,OP_01,SETUP_ORG_NAME,SETUP_ORG_NAME,SETUP,SETUP,Report setup,SETUP,SETUP,Report setup,Report setup,Report setup,100,profile_or_context_signal; use for report personalisation and interpretation
229,OP_05,R02_D03_Q01,R01_D02_Q01,D03,D02,Legal and receiving route,R02,R01,Legal Readiness,"Context, legal route & compliance",2 Eligibility Checked; 6 Due Diligence,101,profile_or_context_signal; use for report personalisation and interpretation
230,OP_06,R01_D01_Q01,R01_D01_Q01,D01,D01,Operating context and safety,R01,R01,Context & Safety,"Context, legal route & compliance",6 Due Diligence,101,profile_or_context_signal; use for report personalisation and interpretation
232,OP_08,R02_D03_Q02,R01_D02_Q02,D03,D02,Legal and receiving route,R02,R01,Legal Readiness,"Context, legal route & compliance",2 Eligibility Checked; 6 Due Diligence,101,profile_or_context_signal; use for report personalisation and interpretation
233,OP_09,R02_D03_Q03,R01_D02_Q03,D03,D02,Legal and receiving route,R02,R01,Legal Readiness,"Context, legal route & compliance",2 Eligibility Checked; 6 Due Diligence,101,profile_or_context_signal; use for report personalisation and interpretation
234,OP_10,R02_D03_Q04,R01_D02_Q04,D03,D02,Legal and receiving route,R02,R01,Legal Readiness,"Context, legal route & compliance",2 Eligibility Checked; 6 Due Diligence,101,profile_or_context_signal; use for report personalisation and interpretation
235,OP_11,R02_D04_Q01,R01_D02_Q05,D04,D02,Legal and receiving route,R02,R01,Legal Readiness,"Context, legal route & compliance",2 Eligibility Checked; 6 Due Diligence,101,multiple_selection; selected options feed report meaning and flags; do not average blindly
236,OP_12,R02_D04_Q02,R01_D02_Q06,D04,D02,Legal and receiving route,R02,R01,Legal Readiness,"Context, legal route & compliance",2 Eligibility Checked; 6 Due Diligence,101,multiple_selection; selected options feed report meaning and flags; do not average blindly
242,OP_18,R11_D22_Q01,R11_D22_Q01,D22,D22,Finance and risk readiness,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,profile_or_context_signal; use for report personalisation and interpretation
244,OP_20,R12_D23_Q01,R12_D24_Q01,D23,D24,Sustainability and adaptive capacity,R12,R12,Financial Health,Grant management & sustainability,7 Budget / Contract; 8 Award / Renewal,112,profile_or_context_signal; use for report personalisation and interpretation
231,OP_07,R01_D01_Q02,R01_D01_Q02,D01,D01,Operating context and safety,R01,R01,Context & Safety,"Context, legal route & compliance",6 Due Diligence,101,multiple_selection; selected options feed report meaning and flags; do not average blindly
237,OP_13,R01_D01_Q03,R01_D01_Q03,D01,D01,Operating context and safety,R01,R01,Context & Safety,"Context, legal route & compliance",6 Due Diligence,101,multiple_selection; selected options feed report meaning and flags; do not average blindly
238,OP_14,R05_D09_Q01,R04_D07_Q01,D09,D07,Mandate and eligibility fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,multiple_selection; selected options feed report meaning and flags; do not average blindly
239,OP_15,R05_D10_Q01,R04_D08_Q01,D10,D08,Work design and grant-size fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,multiple_selection; selected options feed report meaning and flags; do not average blindly
240,OP_16,R09_D18_Q01,R09_D17_Q01,D18,D17,Evidence readiness,R09,R09,Trust Signal,"Coherence, evidence & social proof",4 Proposal Review; 6 Due Diligence,109,multiple_selection; selected options feed report meaning and flags; do not average blindly
243,OP_19,R11_D21_Q01,R11_D21_Q01,D21,D21,Governance and controls,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,multiple_selection; selected options feed report meaning and flags; do not average blindly
247,OP_23,R05_D10_Q02,R04_D08_Q02,D10,D08,Work design and grant-size fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,multiple_selection; selected options feed report meaning and flags; do not average blindly
257,OP_33,R01_D02_Q01,R10_D20_Q01,D02,D20,Protected evidence protocol,R01,R10,Context & Safety,Safeguarding & protected proof,6 Due Diligence,110,profile_or_context_signal; use for report personalisation and interpretation
246,OP_22,R05_D10_Q03,R04_D08_Q03,D10,D08,Work design and grant-size fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,profile_or_context_signal; use for report personalisation and interpretation
248,OP_24,R12_D23_Q02,R12_D24_Q02,D23,D24,Sustainability and adaptive capacity,R12,R12,Financial Health,Grant management & sustainability,7 Budget / Contract; 8 Award / Renewal,112,single_choice_score_or_interpretation_signal
249,OP_25,R08_D15_Q01,R07_D13_Q01,D15,D13,Relationship management,R08,R07,Relationship Capital,"Relationship, leadership & visibility",5 Conversation / Clarification; 8 Award / Renewal,107,multiple_selection; selected options feed report meaning and flags; do not average blindly
250,OP_26,R04_D08_Q01,R03_D06_Q01,D08,D06,Go/no-go discipline and repair loop,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted; 4 Proposal Review,103,single_choice_score_or_interpretation_signal
251,OP_27,R04_D08_Q02,R03_D06_Q02,D08,D06,Go/no-go discipline and repair loop,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted; 4 Proposal Review,103,single_choice_score_or_interpretation_signal
261,JB_PRIMARY_BREAK,R04_D08_BREAKPOINT_STAGE,R03_D06_Q03,D08,D06,Go/no-go discipline and repair loop,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted; 4 Proposal Review,103,single_choice_score_or_interpretation_signal
262,AJ_OPPORTUNITY_TYPES,R03_D05_Q01,R02_D03_Q01,D05,D03,Funder market intelligence,R03,R02,Market Intelligence,Funder intelligence & timing,1 Opportunity Found,102,multiple_selection; selected options feed report meaning and flags; do not average blindly
263,AJ_REJECT_FUNDER_TYPES,R03_D05_Q02,R02_D03_Q02,D05,D03,Funder market intelligence,R03,R02,Market Intelligence,Funder intelligence & timing,1 Opportunity Found,102,multiple_selection; selected options feed report meaning and flags; do not average blindly
264,AJ_USUAL_ROUTE,R07_D13_Q01,R06_D11_Q01,D13,D11,Access routes,R07,R06,Network Access,Network position & access routes,1 Opportunity Found; 5 Conversation / Clarification,106,multiple_selection; selected options feed report meaning and flags; do not average blindly
268,AJ_GENERAL_RESULT,R04_D08_Q03,R03_D06_Q04,D08,D06,Go/no-go discipline and repair loop,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted; 4 Proposal Review,103,single_choice_score_or_interpretation_signal
269,AJ_GENERAL_FEEDBACK,R04_D08_Q04,R03_D06_Q05,D08,D06,Go/no-go discipline and repair loop,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted; 4 Proposal Review,103,multiple_selection; selected options feed report meaning and flags; do not average blindly
270,AJ_FOLLOWUP_PATTERN,R08_D15_Q02,R07_D13_Q02,D15,D13,Relationship management,R08,R07,Relationship Capital,"Relationship, leadership & visibility",5 Conversation / Clarification; 8 Award / Renewal,107,single_choice_score_or_interpretation_signal
271,AJ_CHANGED_LAST,R04_D08_Q05,R03_D06_Q06,D08,D06,Go/no-go discipline and repair loop,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted; 4 Proposal Review,103,multiple_selection; selected options feed report meaning and flags; do not average blindly
295,G1_1,R05_D09_Q02,R04_D07_Q02,D09,D07,Mandate and eligibility fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
296,G1_2,R05_D09_Q03,R04_D07_Q03,D09,D07,Mandate and eligibility fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
297,G1_3,R05_D09_Q04,R04_D07_Q04,D09,D07,Mandate and eligibility fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
298,G1_4,R05_D09_Q05,R04_D07_Q05,D09,D07,Mandate and eligibility fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
299,G1_5,R05_D10_Q04,R04_D08_Q04,D10,D08,Work design and grant-size fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
300,G1_6,R05_D10_Q05,R04_D08_Q05,D10,D08,Work design and grant-size fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
301,G1_7,R05_D10_Q06,R04_D08_Q06,D10,D08,Work design and grant-size fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
302,G1_8,R05_D10_Q07,R04_D08_Q07,D10,D08,Work design and grant-size fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
303,G1_9,R05_D10_Q08,R04_D08_Q08,D10,D08,Work design and grant-size fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
304,G1_10,R06_D11_Q01,R05_D09_Q01,D11,D09,Competitive positioning,R06,R05,Competitive Edge,"Competitive positioning, appeal & ROI",4 Proposal Review,105,single_choice_score_or_interpretation_signal
314,G3_1,R10_D19_Q01,R08_D15_Q01,D19,D15,Application clarity and storytelling,R10,R08,Proposal Quality,Application quality & storytelling,3 Application Submitted; 4 Proposal Review,108,single_choice_score_or_interpretation_signal
315,G3_2,R10_D19_Q02,R08_D15_Q02,D19,D15,Application clarity and storytelling,R10,R08,Proposal Quality,Application quality & storytelling,3 Application Submitted; 4 Proposal Review,108,single_choice_score_or_interpretation_signal
316,G3_3,R10_D19_Q03,R08_D15_Q03,D19,D15,Application clarity and storytelling,R10,R08,Proposal Quality,Application quality & storytelling,3 Application Submitted; 4 Proposal Review,108,single_choice_score_or_interpretation_signal
